epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202126,2021-06-29,468,PI,,22,state,295781,9013.64628,281,6597,23,0.0223,3281480,False,False
202126,2021-06-29,475,PR,,41,state,1279017,11105.62446,5000,30510,59,0.0239,11516840,False,False
202126,2021-06-29,482,RJ,,33,state,957424,5513.14972,3566,55337,142,0.0578,17366189,False,False
202126,2021-06-29,475,RN,,24,state,340165,9625.0458,2871,6768,20,0.0199,3534165,False,False
202126,2021-06-29,467,RO,,11,state,247405,13771.80678,44,6131,2,0.0248,1796460,False,False
202126,2021-06-29,466,RR,,14,state,112133,17765.58547,275,1745,14,0.0156,631181,False,False
202126,2021-06-29,477,RS,,43,state,1214290,10630.24486,4066,31280,122,0.0258,11422973,False,False
202126,2021-06-29,475,SC,,42,state,1050864,14489.67543,3088,16824,72,16,7252502,False,False
202126,2021-06-29,473,SE,,28,state,263114,11346.88217,350,5681,17,0.0216,2318822,False,False
202126,2021-06-29,491,SP,,35,state,3719586,8035.51436,19208,126937,825,0.0341,46289333,False,False
202126,2021-06-29,469,TO,,17,state,197636,12427.99865,370,3213,8,0.0163,1590248,False,False
202126,2021-06-28,469,AC,,12,state,85496,9558.28591,33,1736,0,0.0203,894470,False,False
202126,2021-06-28,478,AL,,27,state,215492,6429.63554,983,5301,20,0.0246,3351543,False,False
202126,2021-06-28,473,AM,,13,state,401195,9534.74975,414,13282,11,0.0331,4207714,False,False
202126,2021-06-28,466,AP,,16,state,116856,13559.9514,148,1832,8,0.0157,861773,False,False
202126,2021-06-28,480,BA,,29,state,1120408,7504.08857,1281,23817,78,0.0213,14930634,False,False
202126,2021-06-28,470,CE,,23,state,881193,9591.63079,775,22454,12,0.0255,9187103,False,False
202126,2021-06-28,479,DF,,53,state,429018,14042.4575,666,9206,13,0.0215,3055149,False,False
202126,2021-06-28,481,ES,,32,state,515602,12686.89475,695,11442,25,0.0222,4064052,False,False
202126,2021-06-28,474,GO,,52,state,673926,9473.84846,2698,19080,92,0.0283,7113540,False,False
